delivery_id,order_id,delivery_status,distance,delivery_time,estimated_time,delivery_fee,vehicle_type
08e0ca36-0342-4286-9332-b6234f768d7e,d92632cf-e155-4d3a-8321-ac4b4bfada88,Delivered,17.17,19,10,8.61,Bike
9e2c43a9-3b6b-4889-b8b2-72d5525418a0,1ea7fa01-b4b0-4ccc-a654-b8f3931a542a,On the way,1.64,43,37,2.01,Scooter
2b7818b5-5cb8-4c3b-8329-216eba2f3a42,1d861984-9711-487c-8d06-e4e59bb03f73,Delivered,3.0,79,78,7.79,Bike
40dae009-9dae-4c6d-a20d-b0f630b13fea,ac64b360-7852-44e3-9bad-e3b2cf19ef92,Delivered,12.76,28,24,5.63,Bike
25d102d5-43d4-4b3e-aaa7-7a30d8732845,dfd3ecf5-3081-4dd9-be51-19f51a2d09df,On the way,5.89,80,88,2.78,Car
f4ce59e0-04a3-4a13-8dfa-d32a7c460f30,9df7f6b5-c59c-490c-9d0d-829e328540f3,On the way,11.27,20,23,6.24,Scooter
b1d9236c-ba74-470d-b14a-936af315885f,07e1eb74-045f-4919-aa56-95c11d97a326,On the way,6.36,55,63,6.64,Car
5aa24634-aca7-476d-b759-7adec7113ef8,8abe1338-138d-4150-9655-606797797e19,Delivered,18.0,66,71,8.52,Scooter
6211e0bf-3439-4d1d-accf-c0342612457c,41c90881-d4e6-4d90-878c-4f9639c042db,Delivered,12.15,52,44,5.86,Bike
32d17e05-876f-49c1-9b88-3abc7aa7ebe0,4754cebf-21ba-4f39-ab30-4c8bd53d764e,Delivered,6.48,96,89,8.35,Bike
64597e41-9ba2-4499-8657-fd520d76eb52,d5ba7c1a-c5f7-4f08-95e7-cace6f7b50f5,On the way,3.97,85,77,2.79,Bike
d5bb6a98-5149-4af9-818d-bfa9e86ee410,b98d1e1b-135c-443a-97a3-10ac72a4f972,Delivered,18.1,84,77,3.61,Car
4b02ff91-51e2-4bb8-b521-957a6a614b47,7f80896e-cf3c-4b2d-815b-29837ee7e5f4,Delivered,6.94,16,26,5.99,Bike
0be5c10c-e5f5-4974-ac3d-a31b5a1cb0d4,206350d4-3aaa-4470-8c32-fd15996851b7,On the way,14.11,114,120,6.88,Bike
ee77c5c2-c44f-48c9-9ac2-1a05f9410981,c0587748-5a5d-4e79-a662-9eeafb36eaaf,On the way,1.19,75,77,6.41,Scooter
2568dfbf-9296-4c98-8605-3c176164fcde,8048eb53-fb0f-442e-92ad-d4bd7a318bba,On the way,5.68,62,69,9.92,Scooter
7614aa67-d45d-4d5b-8c72-10b53b1b3056,a641d086-82d0-4fb8-b792-e2537542b858,On the way,5.92,60,57,3.23,Scooter
613edb53-2b27-4be2-b772-41703e0b1d1d,fb2ea1ae-5fd4-4aec-b909-c1112aaf994a,Delivered,14.99,74,82,7.92,Car
381ab44f-9cc5-4138-ba5f-6b0af38e0b3e,429bc19a-a95b-4821-965b-b4610317216b,On the way,19.72,36,28,3.71,Scooter
db7f9045-33f4-41dd-9ddb-0b8130efd63b,7924a4b3-8141-4d8e-8019-18fa6e4f0ae8,Delivered,4.18,93,97,7.5,Bike
80a4d723-7017-4e4f-b9f6-1d34f5e24228,ac9dd704-af47-4338-b01f-bc7fd6e4eb85,Delivered,8.29,33,43,7.33,Scooter
cf9379c1-eda4-4cb8-bb85-0bcae8e6ad14,e90e1af9-ab05-47af-8530-59612b2faef5,Delivered,11.43,73,81,6.72,Car
f17541a7-5c2e-4e17-a5d1-5c8c020d3bd4,799702cb-29d2-499a-9fbe-abe2a7b5094f,Delivered,19.36,51,57,8.85,Car
c70fc5af-450c-477a-8576-5f2364790227,0de5d79d-9f65-42d3-9365-e1cecb413d7f,Delivered,14.77,88,81,6.33,Bike
8874d191-762c-4fcf-aac1-1a18b4b2b9ef,a21f6abf-423f-4d87-9822-ff989ae0ddb9,On the way,17.16,69,64,4.45,Car
734dbf30-6889-476b-abf0-524e1317939f,dfb800d9-d94f-4e32-b206-3c753903892f,On the way,14.14,114,115,5.75,Scooter
afe860e8-6445-46a9-86c1-e0470af632e6,9448d61e-f7ef-400b-86ab-911db4b0918e,Delivered,1.71,28,18,4.63,Car
f9ae0bd2-eb9e-4b22-848f-7e95e9eb3fbc,70082c19-d152-4052-9832-99a9608aed53,Delivered,17.66,74,79,5.24,Scooter
fcdd08b2-0ed4-446e-a9d4-816b3f0ade9a,aa4ffb04-7133-447c-9352-f944e33aaf16,On the way,19.89,35,37,5.78,Car
cc4379b0-4cb1-4285-a270-214bb1b2366b,fb2ea1ae-5fd4-4aec-b909-c1112aaf994a,Delivered,14.0,117,108,6.8,Car
07bfbb9d-8ef4-4fe0-8d91-a8ae992780ca,640348ad-e663-40ff-9e42-fb6b7008d17e,Delivered,18.91,40,32,9.0,Bike
9c9bd32e-8ef8-4de9-b32e-5175863bcb4c,dfb800d9-d94f-4e32-b206-3c753903892f,Delivered,12.34,114,119,9.33,Scooter
c1142a56-5c16-4fd8-bb94-2e0ce636d0a6,0a1b5a34-5ffb-43ae-9374-04ad77f921ea,Delivered,3.73,89,90,3.64,Car
6acf7721-f5d1-4f2c-96a9-dfc3c89647b9,5f36959e-9aa2-482a-9a3b-0725932bce84,On the way,7.55,36,41,8.61,Bike
